ಹೊಮ್ಮರ,ೊಮ್ಮರ
ಹವ್ದುಗಳು,ವ್ದುಗಳು
ಹಾಕಬೇಕು,ಾಕಬೇಕು
ಹತ್ತಿಹುಲ್ಲು,ತ್ತಿಹುಲ್ಲು
ಹರ‍ಟು,ರ‍ಟು
ಹೊರಹೊಮ್ಮುತ್ತಿದ್ದ,ೊರಹೊಮ್ಮುತ್ತಿದ್ದ
ಹಿಡಿಸುವನ್ತ,ಿಡಿಸುವನ್ತ
ಹಸ್ತವನ್ನು,ಸ್ತವನ್ನು
ಹಂಸದಂತೆ,ಂಸದಂತೆ
ಹಾಡರಿಮೆಗಳು,ಾಡರಿಮೆಗಳು
ಹೊಗರುಗಣೆಗಳು,ೊಗರುಗಣೆಗಳು
ಹೆಗಲುಚೀಲಗಳು,ೆಗಲುಚೀಲಗಳು
ಹರಣಮ್ಬಡೆಗಳು,ರಣಮ್ಬಡೆಗಳು
ಹತ್ತುಗಡೆಗಳು,ತ್ತುಗಡೆಗಳು
ಹೆಗ್ಗಾಳೆಗಳು,ೆಗ್ಗಾಳೆಗಳು
ಹೆಡಲುಗಳು,ೆಡಲುಗಳು
ಹುಳುಗಳಿಂದ,ುಳುಗಳಿಂದ
ಹೆದ್ದ,ೆದ್ದ
ಹೃದಯಹೀನರು,ೃದಯಹೀನರು
ಹುಟ್ಟಿಲ್ಲದವ,ುಟ್ಟಿಲ್ಲದವ
ಹಿಂದಟ್ಟು,ಿಂದಟ್ಟು
ಹಮಕೇ,ಮಕೇ
ಹುಸಿಗುಂಡು,ುಸಿಗುಂಡು
ಹೋಲಿಕೆಯಿಲ್ಲದಿರುವಿಕೆಗಳು,ೋಲಿಕೆಯಿಲ್ಲದಿರುವಿಕೆಗಳು
ಹಿನ್ದಣ,ಿನ್ದಣ
ಹೊಂಗೆಲಸ,ೊಂಗೆಲಸ
ಹೀರುವುದೆಂದು,ೀರುವುದೆಂದು
ಹೆಣ್ಣುಗವಡೆ,ೆಣ್ಣುಗವಡೆ
ಹಸ್ತಿನಾಪುರಗಳು,ಸ್ತಿನಾಪುರಗಳು
ಹೇಮಶಯ್ಯ,ೇಮಶಯ್ಯ
ಹೆರೆಕೊಂಬು,ೆರೆಕೊಂಬು
ಹಿನ್ನೀರಿನ,ಿನ್ನೀರಿನ
ಹವಿಸ್ಸು,ವಿಸ್ಸು
ಹಿಂಬೆದೆ,ಿಂಬೆದೆ
ಹೊಂತಗಳು,ೊಂತಗಳು
ಹಾಗದ,ಾಗದ
ಹಣವಿಲ್ಲವಂತೆ,ಣವಿಲ್ಲವಂತೆ
ಹಮ್ಮುಗ,ಮ್ಮುಗ
ಹರುಷಗಳು,ರುಷಗಳು
ಹುಲ್ಲೆನಗು,ುಲ್ಲೆನಗು
ಹಿಡಿದುಕೊಂಡು,ಿಡಿದುಕೊಂಡು
ಹಾ,ಾ
ಹಾಯ್ಕಡ,ಾಯ್ಕಡ
ಹೆಡ್ಡನಾದ,ೆಡ್ಡನಾದ
ಹಚ್ಚಗೆ,ಚ್ಚಗೆ
ಹೀರಿಬಿಡುವಂತ,ೀರಿಬಿಡುವಂತ
ಹಿರಿಯಾಸೆಗಳು,ಿರಿಯಾಸೆಗಳು
ಹಕ್ಕಿಯರಿಗರುಗಳು,ಕ್ಕಿಯರಿಗರುಗಳು
ಹಮ್ಮದಗಳು,ಮ್ಮದಗಳು
ಹಲಗೆಯಲ್ಲಿ,ಲಗೆಯಲ್ಲಿ
ಹಾಳತಗೊಳಿಸುವುದು,ಾಳತಗೊಳಿಸುವುದು
ಹಗುರಾಗುವ,ಗುರಾಗುವ
ಹೂವರಳಿ,ೂವರಳಿ
ಹಿಂದುಗಳು,ಿಂದುಗಳು
ಹೇಡಿಗಳು,ೇಡಿಗಳು
ಹೆರೆಗತ್ತರಿ,ೆರೆಗತ್ತರಿ
ಹೇಮಕುಮ್ಬಗಳು,ೇಮಕುಮ್ಬಗಳು
ಹುಚ್ಚರು,ುಚ್ಚರು
ಹುಸಿಯಾಗು,ುಸಿಯಾಗು
ಹಾಲುವಾಣ,ಾಲುವಾಣ
ಹುದುಗಿಡುವವನು,ುದುಗಿಡುವವನು
ಹಾರೈಸುವುದು,ಾರೈಸುವುದು
ಹಾರಹೀರಗಳು,ಾರಹೀರಗಳು
ಹಸುರೆಲೆ,ಸುರೆಲೆ
ಹಿಡಿಗುಬ್ಬಿಗಳು,ಿಡಿಗುಬ್ಬಿಗಳು
ಹೊಳೆಯಿಸು,ೊಳೆಯಿಸು
ಹೇಳಲಾಗಿರುವ,ೇಳಲಾಗಿರುವ
ಹಗ್ಗು,ಗ್ಗು
ಹುಟ್ಟಿಗೆ,ುಟ್ಟಿಗೆ
ಹಿಂಸೆಯ,ಿಂಸೆಯ
ಹಾಲುಗಿಣ್ಣು,ಾಲುಗಿಣ್ಣು
ಹುಳಿದ್ರಾವಕಗಳು,ುಳಿದ್ರಾವಕಗಳು
ಹುಚ್ಚುಗೊಳ್,ುಚ್ಚುಗೊಳ್
ಹುರಿಗಾವಲಿ,ುರಿಗಾವಲಿ
ಹದುಳಿಗರು,ದುಳಿಗರು
ಹೊರಹೊದಿಕೆಗಳು,ೊರಹೊದಿಕೆಗಳು
ಹಿಂದಿರುಗುವವನು,ಿಂದಿರುಗುವವನು
ಹೊಳ್ಳುಹಾರು,ೊಳ್ಳುಹಾರು
ಹೊದರಿನ,ೊದರಿನ
ಹೆಣ್ಣಿನಲ್ಲಿ,ೆಣ್ಣಿನಲ್ಲಿ
ಹವಾನಿಯನ್ತ್ರಣಗಳು,ವಾನಿಯನ್ತ್ರಣಗಳು
ಹಸುಬೆಗಳು,ಸುಬೆಗಳು
ಹರ್ಕ್ಯುಲೀಸ್‍,ರ್ಕ್ಯುಲೀಸ್‍
ಹೋಯ್..ಊಟಕ್ಕಾತು,ೋಯ್..ಊಟಕ್ಕಾತು
ಹೇರಳೆಗಳು,ೇರಳೆಗಳು
ಹರಿಗಡಿ,ರಿಗಡಿ
ಹೊರಸುರಿತಗಳು,ೊರಸುರಿತಗಳು
ಹೊಂದೊಟ್ಟಿಲು,ೊಂದೊಟ್ಟಿಲು
ಹಾಸುಗಾಯ್,ಾಸುಗಾಯ್
ಹಱುಣೆ,ಱುಣೆ
ಹೆಡ್ಡಿ,ೆಡ್ಡಿ
ಹ್ರಸ್ವವಾಗು,್ರಸ್ವವಾಗು
ಹಾರ್ವರು,ಾರ್ವರು
ಹದಿಮೂರ್,ದಿಮೂರ್
ಹೆಂಬೇಡಿ,ೆಂಬೇಡಿ
ಹಮ್,ಮ್
ಹತನಾಗುತ್ತಾನೆ,ತನಾಗುತ್ತಾನೆ
ಹಲಿಗೆಯ,ಲಿಗೆಯ
ಹೊಂದಿದುದು,ೊಂದಿದುದು
ಹಲುಗಿರಿ,ಲುಗಿರಿ
ಹಞ್ಚಿಕೆದಾರರು,ಞ್ಚಿಕೆದಾರರು
ಹೊಲಿ,ೊಲಿ
ಹೊಡೆಯುತ್ತ,ೊಡೆಯುತ್ತ
ಹೀನವೆಂದು,ೀನವೆಂದು
ಹೊಮ್ಪು,ೊಮ್ಪು
ಹೊರಹಾಕಬೇಕು.,ೊರಹಾಕಬೇಕು.
ಹುಣಿಸೇಕಾಯಿ,ುಣಿಸೇಕಾಯಿ
ಹೊನ್ದಿರು,ೊನ್ದಿರು
ಹಳೇಕತೆ,ಳೇಕತೆ
ಹಡದೆಗಳು,ಡದೆಗಳು
ಹಾಳುದೇಗುಲಗಳು,ಾಳುದೇಗುಲಗಳು
ಹೈಲಂಡ್‍,ೈಲಂಡ್‍
ಹಲಕೂಡು,ಲಕೂಡು
ಹೊಡೆಯುವಶ್ಟು,ೊಡೆಯುವಶ್ಟು
ಹಾಸ್ಯಪತ್ರಿಕೆ,ಾಸ್ಯಪತ್ರಿಕೆ
ಹೂಡೆಯ,ೂಡೆಯ
ಹುಸಿತೋರ್ಕೆಗಳು,ುಸಿತೋರ್ಕೆಗಳು
ಹೊಯ್ಯಲುಗಳು,ೊಯ್ಯಲುಗಳು
ಹನಿಹನಿಯಾಗಿ,ನಿಹನಿಯಾಗಿ
ಹೂಬಾಣಗಳು,ೂಬಾಣಗಳು
ಹೆಬ್ಬೆರಳ,ೆಬ್ಬೆರಳ
ಹಿಯ್ಯಾಳಿಸು,ಿಯ್ಯಾಳಿಸು
ಹೆಂಗೆ,ೆಂಗೆ
ಹಿರಿಯೆಣಿ,ಿರಿಯೆಣಿ
ಹೋಟೆಗಳು,ೋಟೆಗಳು
ಹಾಲ್ಕುಡಿ,ಾಲ್ಕುಡಿ
ಹಟಾತ್ತಾದ,ಟಾತ್ತಾದ
ಹಿಂಬಾಗದಲ್ಲಿ,ಿಂಬಾಗದಲ್ಲಿ
ಹೊಗುಗೆಗಳು,ೊಗುಗೆಗಳು
ಹಾಲುಮಾಪಕ,ಾಲುಮಾಪಕ
ಹಿನ್ದುಗಳೆ,ಿನ್ದುಗಳೆ
ಹಾಸುಮಣೆ,ಾಸುಮಣೆ
ಹೊಂದಿಸಿಕೊಳ್ಳು,ೊಂದಿಸಿಕೊಳ್ಳು
ಹಸಲೆಗತ್ತರಿ,ಸಲೆಗತ್ತರಿ
ಹೋಡುಗಾರ,ೋಡುಗಾರ
ಹೂವಿನದಣ್ಡೆ,ೂವಿನದಣ್ಡೆ
ಹರಗೋಲು,ರಗೋಲು
ಹಾಕುವುದು.,ಾಕುವುದು.
ಹುರಿಮಾಡಿದ,ುರಿಮಾಡಿದ
ಹರಿಯಾತ್ರೆ,ರಿಯಾತ್ರೆ
ಹೊಸದಾಗಿ,ೊಸದಾಗಿ
ಹೀರುವಿಕೆಗಳು,ೀರುವಿಕೆಗಳು
ಹಣದಚೀಟಿ,ಣದಚೀಟಿ
ಹೆಚ್ಚುಸಙ್ಖ್ಯೆಗಳು,ೆಚ್ಚುಸಙ್ಖ್ಯೆಗಳು
ಹಾಗಾಯಿತು,ಾಗಾಯಿತು
ಹೇಳಿದನ್ತೆ,ೇಳಿದನ್ತೆ
ಹಳಿಬಂಡಿ,ಳಿಬಂಡಿ
ಹಂದಿಬಾಡುಗಳು,ಂದಿಬಾಡುಗಳು
ಹುಚ್ಚಾಟಗಳು,ುಚ್ಚಾಟಗಳು
ಹೊರಟಿರುವಾಗ,ೊರಟಿರುವಾಗ
ಹಸುರುಗೋಣಿ,ಸುರುಗೋಣಿ
ಹುಣಸೆಮರ,ುಣಸೆಮರ
ಹೆಗಡೆಗಳು,ೆಗಡೆಗಳು
ಹಣ್ಣಾಗು,ಣ್ಣಾಗು
ಹಸರಿಕೆಗಳು,ಸರಿಕೆಗಳು
ಹಿಡಿವಿಡಿ,ಿಡಿವಿಡಿ
ಹಾಕಿದ,ಾಕಿದ
ಹಿಡಿತ,,ಿಡಿತ,
ಹೊಮ್ಬುಗುರಿಗಳು,ೊಮ್ಬುಗುರಿಗಳು
ಹೊಸವಿಷಯಗಳು,ೊಸವಿಷಯಗಳು
ಹೃದಯದೇಶಗಳು,ೃದಯದೇಶಗಳು
ಹದಗಳ್ಳೆ,ದಗಳ್ಳೆ
ಹೊಳೆದು,ೊಳೆದು
ಹರಡದಂತೆ,ರಡದಂತೆ
ಹೋಗಿರುವವನು,ೋಗಿರುವವನು
ಹಿನ್ದೇಟುಗಳು,ಿನ್ದೇಟುಗಳು
ಹಳ್ಳಿಗಳನ್ನು,ಳ್ಳಿಗಳನ್ನು
ಹರ್ಷಾಮ್ಬು,ರ್ಷಾಮ್ಬು
ಹೊಙ್ಗೆಮರೆ,ೊಙ್ಗೆಮರೆ
ಹೊಕ್ಕಳು,ೊಕ್ಕಳು
ಹುಣಿಸೇಹಣ್ಣು,ುಣಿಸೇಹಣ್ಣು
ಹಿಂಗಟ್ಟುಕಟ್ಟು,ಿಂಗಟ್ಟುಕಟ್ಟು
ಹಾತೊರೆಯುವವನು,ಾತೊರೆಯುವವನು
ಹಿಂಗುಗಳು,ಿಂಗುಗಳು
ಹಿಂದೆಸೆಗಳು,ಿಂದೆಸೆಗಳು
ಹಯ್,ಯ್
ಹೊಳಪಾಗು,ೊಳಪಾಗು
ಹದಿರಿಲ್ಲದ,ದಿರಿಲ್ಲದ
ಹೇಳದಿರು,ೇಳದಿರು
ಹೊನ್ದೇರು,ೊನ್ದೇರು
ಹೊಮ್ಮುಗುಳ್,ೊಮ್ಮುಗುಳ್
ಹಳುವಾರ,ಳುವಾರ
ಹುಣಿಚೆ,ುಣಿಚೆ
ಹಗಲುಗಳು,ಗಲುಗಳು
ಹಾರಯ್ಸು,ಾರಯ್ಸು
ಹಣವಾಗಿಸು,ಣವಾಗಿಸು
ಹಿನ್ದುತ್ವಗಳು,ಿನ್ದುತ್ವಗಳು
ಹಿಙ್ಗಾರ,ಿಙ್ಗಾರ
ಹಿನ್ದಿನವನು,ಿನ್ದಿನವನು
ಹೂದುಮ್ಬಿದ,ೂದುಮ್ಬಿದ
ಹೇಳಲಾಗದ,ೇಳಲಾಗದ
ಹಿನ್ನೋಟಗಳು,ಿನ್ನೋಟಗಳು
ಹತ್ತಿಕೊಂಡ,ತ್ತಿಕೊಂಡ
ಹುರುಡುಕಟ್ಟು,ುರುಡುಕಟ್ಟು
ಹೆಡ್ಡು,ೆಡ್ಡು
ಹಣೆಯಬರಹ,ಣೆಯಬರಹ
ಹುಡುಕುತ್ತ,ುಡುಕುತ್ತ
ಹೊಡಿಯಾಕತ್ತೀಯಲ್ಲ",ೊಡಿಯಾಕತ್ತೀಯಲ್ಲ"
ಹಿಡಿದರೆ...ಫ್ಯಾನಿನ೦ತೆ,ಿಡಿದರೆ...ಫ್ಯಾನಿನ೦ತೆ
ಹೆಗಲೆಣೆ,ೆಗಲೆಣೆ
ಹಲ್ಲರಿಮೆ,ಲ್ಲರಿಮೆ
ಹುವ್ವುಲವಗಳು,ುವ್ವುಲವಗಳು
ಹೂವೆ,ೂವೆ
ಹೊಲಸಿನ,ೊಲಸಿನ
ಹೊರಗಿನ,,ೊರಗಿನ,
ಹಿರಣ್ಯಗರ್ಭೆ,,ಿರಣ್ಯಗರ್ಭೆ,
ಹುಲುಗೈದು,ುಲುಗೈದು
ಹೆಣ್ಣಿಗತನ,ೆಣ್ಣಿಗತನ
ಹಳ್ಳಗಳು,ಳ್ಳಗಳು
ಹೊಂಗಿಡಿ,ೊಂಗಿಡಿ
ಹಞ್ಚಿಗರು,ಞ್ಚಿಗರು
ಹಿನ್ನಾಡು,ಿನ್ನಾಡು
ಹಾವೇರಿ,ಾವೇರಿ
ಹೊಗು,ೊಗು
ಹುಲಿಮೀನು,ುಲಿಮೀನು
ಹುರುಳಿಗಳು,ುರುಳಿಗಳು
ಹಿಂದಿಲ್ಲ,ಿಂದಿಲ್ಲ
ಹೊಸಘಟ್ಟಗಳು,ೊಸಘಟ್ಟಗಳು
ಹುರಿದುಂಬಿಸುವುದು,ುರಿದುಂಬಿಸುವುದು
ಹೊಙ್ಗದಿರು,ೊಙ್ಗದಿರು
ಹೂವಾಗಿದೆ,ೂವಾಗಿದೆ
ಹೃದಯಾತಿಸ್ಪಂದನ,ೃದಯಾತಿಸ್ಪಂದನ
ಹಸುಳೆವೆರೆ,ಸುಳೆವೆರೆ
ಹುರಪಳಿಸು,ುರಪಳಿಸು
ಹೊಂಚುಹಾಕಿ,ೊಂಚುಹಾಕಿ
ಹಡೆಯುವಿಕೆ,ಡೆಯುವಿಕೆ
ಹುಳಿಗಲಸು,ುಳಿಗಲಸು
ಹೊರಲೇಪ,ೊರಲೇಪ
ಹುಳುಕುಬುದ್ದಿಗಳು,ುಳುಕುಬುದ್ದಿಗಳು
ಹುರಿಗೊಳ್,ುರಿಗೊಳ್
ಹೊಂದಬಲ್ಲ,ೊಂದಬಲ್ಲ
ಹಿರಿಯೇಲಕ್ಕಿ,ಿರಿಯೇಲಕ್ಕಿ
ಹೊರಬಂದ,ೊರಬಂದ
ಹೂವೆಲೆ,ೂವೆಲೆ
ಹಿಡಿತ,ಿಡಿತ
ಹೋಗಲಾಡಿಸುವುದು,ೋಗಲಾಡಿಸುವುದು
ಹಗ್್ಗ,ಗ್್ಗ
ಹುಟ್ಟೆ,ುಟ್ಟೆ
ಹೇರೂ,ೇರೂ
ಹದಗೊಳಿಸದಿರುವಿಕೆ,ದಗೊಳಿಸದಿರುವಿಕೆ
ಹಾಲ್ರಸಕೊರೆ,ಾಲ್ರಸಕೊರೆ
ಹರಿಸರ್ವಾಙ್ಗೆ,ರಿಸರ್ವಾಙ್ಗೆ
ಹಲ್ಲುಮುರಿ,ಲ್ಲುಮುರಿ
ಹಳಮೆ,ಳಮೆ
ಹೆಚ್ಚಲ್ಲದ,ೆಚ್ಚಲ್ಲದ
ಹನ್ದೆ,ನ್ದೆ
ಹೊನ್ದಾಣಿಕೆಯಿರುವ,ೊನ್ದಾಣಿಕೆಯಿರುವ
ಹೂಕೋಸುಗಳು,ೂಕೋಸುಗಳು
ಹೂಣಿಕೆ,ೂಣಿಕೆ
ಹರಿಬಕ್ತರು,ರಿಬಕ್ತರು
ಹನ್ದೆಗರು,ನ್ದೆಗರು
ಹಮ್ಬಲಿಕೆ,ಮ್ಬಲಿಕೆ
ಹೇವರಿ,ೇವರಿ
ಹೆಚ್ಚುಬೆಲೆಯ,ೆಚ್ಚುಬೆಲೆಯ
ಹೆಡ್ಡುನಡತೆ,ೆಡ್ಡುನಡತೆ
ಹಂದಿತಿನಿಸು,ಂದಿತಿನಿಸು
ಹಡಿ,ಡಿ
ಹೃದಯಂಗಮ,ೃದಯಂಗಮ
ಹೆಡಗಟ್ಟುಗಳು,ೆಡಗಟ್ಟುಗಳು
ಹಂದೀಟಿ,ಂದೀಟಿ
ಹಾಡಾಡುಗಳು,ಾಡಾಡುಗಳು
ಹೊಸಹರೆಯಗಳು,ೊಸಹರೆಯಗಳು
ಹಸುರುಗನ್ನಿ,ಸುರುಗನ್ನಿ
ಹೊರಹರಿವೇ,ೊರಹರಿವೇ
ಹುಡುಗಿರು,ುಡುಗಿರು
ಹಾದುಬರು,ಾದುಬರು
ಹೆಪ್ಪುಗೊಡು,ೆಪ್ಪುಗೊಡು
ಹನಿತ,ನಿತ
ಹೊರನಾಡು,ೊರನಾಡು
ಹರಳುಗಿಡ,ರಳುಗಿಡ
ಹೊರಮಾರ್ಗ,ೊರಮಾರ್ಗ
ಹೂಕುಣ್ಡ,ೂಕುಣ್ಡ
ಹೆಮ್ಮೆಪಡು.,ೆಮ್ಮೆಪಡು.
ಹರನಾಳಿಗಿ,ರನಾಳಿಗಿ
ಹಳಗಗಳು,ಳಗಗಳು
ಹೋಗಿದ್ದವು.,ೋಗಿದ್ದವು.
ಹಮ್ಬಲಿಗರು,ಮ್ಬಲಿಗರು
ಹೆಣೆದುಕೊಂಡಿರುವ,ೆಣೆದುಕೊಂಡಿರುವ
ಹುಡುಗನಿಗೊಂದು,ುಡುಗನಿಗೊಂದು
ಹೊಲಬುಗೇಡಿ,ೊಲಬುಗೇಡಿ
ಹೆಲಿಕಾಪ್ಟರು,ೆಲಿಕಾಪ್ಟರು
ಹೆಂಜೇರು,ೆಂಜೇರು
ಹಲವಣಿಕೆ,ಲವಣಿಕೆ
ಹೊಳೆಯುವ,,ೊಳೆಯುವ,
ಹಾದಿಯಲ್ಲಿ,ಾದಿಯಲ್ಲಿ
ಹೃದಯಸ್ಥರು,ೃದಯಸ್ಥರು
ಹೇಳುತ್ತೇವೆ,ೇಳುತ್ತೇವೆ
ಹಾಯಿಸುವುದಕ್ಕಾಗಿ,ಾಯಿಸುವುದಕ್ಕಾಗಿ
ಹಟ್ಟಿಗಳ,ಟ್ಟಿಗಳ
ಹರಿಣಾಂಕಕುಲಗಳು,ರಿಣಾಂಕಕುಲಗಳು
ಹೃದಯವಯ್ಶಾಲ್ಯ,ೃದಯವಯ್ಶಾಲ್ಯ
ಹಕ್ಕೋಲೆಗಳು,ಕ್ಕೋಲೆಗಳು
ಹೆ‌ಚ್ಚಾಗಿ,ೆ‌ಚ್ಚಾಗಿ
ಹೋಮಾಗ್ನಿ,ೋಮಾಗ್ನಿ
ಹಿಂದೀಪ,ಿಂದೀಪ
ಹಿಟ್ಟಂದ,ಿಟ್ಟಂದ
ಹಿಙ್ಗಾರಿಮಳೆ,ಿಙ್ಗಾರಿಮಳೆ
ಹಂಬಲಿಸುವರುಗಳು,ಂಬಲಿಸುವರುಗಳು
ಹೊರೆ,ೊರೆ
ಹಾನಿಮಾಡು,ಾನಿಮಾಡು
ಹಞ್ಚಿಕೆ,ಞ್ಚಿಕೆ
ಹೆಚ್ಚುಮಟ್ಚಿಗೆ,ೆಚ್ಚುಮಟ್ಚಿಗೆ
ಹೂಳಿದ,ೂಳಿದ
ಹೆಣದೊರೆ,ೆಣದೊರೆ
ಹರವು=,ರವು=
ಹೊನ್ದಿಕೆಯರಿಮೆ,ೊನ್ದಿಕೆಯರಿಮೆ
ಹನ್ನೆರಡನೆಯತಾರೆಗಳು,ನ್ನೆರಡನೆಯತಾರೆಗಳು
ಹೊರಗುಡುಹಿದ,ೊರಗುಡುಹಿದ
ಹರಿನಾಳಿಗೆ,ರಿನಾಳಿಗೆ
ಹಜಾರದ,ಜಾರದ
ಹೀಚುಕಾಯಿ,ೀಚುಕಾಯಿ
ಹೊಂಗೆಜ್ಜೆಗಳು,ೊಂಗೆಜ್ಜೆಗಳು
ಹೊಲಬು,ೊಲಬು
ಹತ್ತಿದವನು,ತ್ತಿದವನು
ಹರವಿನಕಣ್ಟ,ರವಿನಕಣ್ಟ
ಹಂದು,ಂದು
ಹತ್ತು,ತ್ತು
ಹಗಲುಗನಸಿನ,ಗಲುಗನಸಿನ
ಹೋಗುವನ್ತಹುದು,ೋಗುವನ್ತಹುದು
ಹೊಂದಿರುವುದು,ೊಂದಿರುವುದು
ಹೂಮೊಗ್ಗುಗಳ,ೂಮೊಗ್ಗುಗಳ
ಹೇಳಿವುಗಳು,ೇಳಿವುಗಳು
ಹೊಸಸುಣ್ಣಗಳು,ೊಸಸುಣ್ಣಗಳು
ಹನ್ತಗಳು,ನ್ತಗಳು
ಹಿಂಸಾತ್ಮಕಕೃತ್ಯ,ಿಂಸಾತ್ಮಕಕೃತ್ಯ
ಹೆಬ್ಬಲ್ಲು,ೆಬ್ಬಲ್ಲು
ಹೆಗ್ಗಡೆ,ೆಗ್ಗಡೆ
ಹಗೆಗೊಳ್,ಗೆಗೊಳ್
ಹರಕರಿಸು,ರಕರಿಸು
ಹಿಡಿಗೆಯ್ಗಳು,ಿಡಿಗೆಯ್ಗಳು
ಹಗಲುಗನ್ನಗಳು,ಗಲುಗನ್ನಗಳು
ಹಾರವಿಸು,ಾರವಿಸು
ಹಿಙ್ಗುಡಿ,ಿಙ್ಗುಡಿ
ಹೋಮಕ್ಕೆ,ೋಮಕ್ಕೆ
ಹಿಂಚು,ಿಂಚು
ಹಿನ್ತೊಡೆಗಳು,ಿನ್ತೊಡೆಗಳು
ಹುಡದಿಗಳು,ುಡದಿಗಳು
ಹುಳು,,ುಳು,
ಹೊಮ್ಪುಳಿಗಳು,ೊಮ್ಪುಳಿಗಳು
ಹೀನಾಥದಲ್ಲಿ,ೀನಾಥದಲ್ಲಿ
ಹಳಿಗಳು,ಳಿಗಳು
ಹೊರಮನೆಗಳು,ೊರಮನೆಗಳು
ಹೆಂಗಳರೆ,ೆಂಗಳರೆ
ಹೆರ್ಗಡೆಗಳು,ೆರ್ಗಡೆಗಳು
ಹಲ್ಲಿಲ್ಲದಾಗು,ಲ್ಲಿಲ್ಲದಾಗು
ಹೆದರ,ೆದರ
ಹೋಲಿಸಬಲ್ಲ,ೋಲಿಸಬಲ್ಲ
ಹೊಡೆಯುತ್ತೀಯಲ್ಲ",ೊಡೆಯುತ್ತೀಯಲ್ಲ"
ಹೋಗ,ೋಗ
ಹಂದಾ,ಂದಾ
ಹರಿದ್ರೆ,ರಿದ್ರೆ
ಹೊಟ್ಟೆಯುರಿ,ೊಟ್ಟೆಯುರಿ
ಹೂಳ್ದ,ೂಳ್ದ
ಹಾಳಿತಗೆಡದ,ಾಳಿತಗೆಡದ
ಹಠಾತ್,ಠಾತ್
ಹೋಮಮು,ೋಮಮು
ಹಾಲಿಳಿಯುವಿಕೆ,ಾಲಿಳಿಯುವಿಕೆ
ಹೇರಳವಾಗಿರುವ,ೇರಳವಾಗಿರುವ
ಹವಾಲತ್ತುಗಳು,ವಾಲತ್ತುಗಳು
ಹ,,,
ಹೊಂಚು,ೊಂಚು
ಹುರುದುಮ್ಬುವಿಕೆ,ುರುದುಮ್ಬುವಿಕೆ
ಹೊಪ್ಪಳಗಳು,ೊಪ್ಪಳಗಳು
ಹಿಚಕೆ,ಿಚಕೆ
ಹರ್ಷಚಿತ್ತರು,ರ್ಷಚಿತ್ತರು
ಹೈಪೊಕ್ಲೋರೈಟ್,ೈಪೊಕ್ಲೋರೈಟ್
ಹುಗುಳು,ುಗುಳು
ಹಾಡುಗಬ್ಬ.,ಾಡುಗಬ್ಬ.
ಹೊಳಪುಳ್ಳದ್ದು,ೊಳಪುಳ್ಳದ್ದು
ಹೊರವರಸಿಗ,ೊರವರಸಿಗ
ಹೆದ್ದಾರಿ,ೆದ್ದಾರಿ
ಹರಸಮಯಿ,ರಸಮಯಿ
ಹೇಸಿಗೆಹೂವು,ೇಸಿಗೆಹೂವು
ಹಸಗಾಲ,ಸಗಾಲ
ಹೊಗಳಿಕೆಯ,ೊಗಳಿಕೆಯ
ಹುಳಿಯುಚ್ಚೆ,ುಳಿಯುಚ್ಚೆ
ಹಿಡಿದಿಡು,ಿಡಿದಿಡು
ಹುಡ್ಗಳು,ುಡ್ಗಳು
ಹುಲುಗುಡಿಸಿಲು,ುಲುಗುಡಿಸಿಲು
ಹೊರಗೆಸೆ,ೊರಗೆಸೆ
ಹಾಳೆಗಳುಳ್ಳ,ಾಳೆಗಳುಳ್ಳ
ಹದುಳೋಲೆ,ದುಳೋಲೆ
ಹೊಗರಿಳಿಸುವ,ೊಗರಿಳಿಸುವ
ಹತ್ತನೂರುನಾಮ,ತ್ತನೂರುನಾಮ
ಹೆದರಿಕೆಯಿಂದ,ೆದರಿಕೆಯಿಂದ
ಹಾವೇರಿಯ,ಾವೇರಿಯ
ಹೆಂಡಗಾರ,ೆಂಡಗಾರ
ಹುಳಿಗಾಯ್,ುಳಿಗಾಯ್
ಹತ್ತರಿ,ತ್ತರಿ
ಹರವು,,ರವು,
ಹೊಙ್ಗೆಮರೆಗಳು,ೊಙ್ಗೆಮರೆಗಳು
ಹಾಸುಮಣೆಗಳು,ಾಸುಮಣೆಗಳು
ಹಾರೆಯಂತಹ,ಾರೆಯಂತಹ
ಹುರುಳಿಯ,ುರುಳಿಯ
ಹರುವ,ರುವ
ಹಾಕುವುದಕ್ಕೆ,ಾಕುವುದಕ್ಕೆ
ಹೆ೦ಗಸರು,ೆ೦ಗಸರು
ಹಣಪಾವತಿ,ಣಪಾವತಿ
ಹುಣಿಸೆ,,ುಣಿಸೆ,
ಹಮ್ಬುಹಾರಕಹುಲ್ಲುಗಳು,ಮ್ಬುಹಾರಕಹುಲ್ಲುಗಳು
ಹಚ್ಚಿಸು,ಚ್ಚಿಸು
ಹೋಳಿಗಿ,ೋಳಿಗಿ
ಹುಯ್ಗಡುಬು,ುಯ್ಗಡುಬು
ಹಲಿವೆಗಳು,ಲಿವೆಗಳು
ಹಣರೂಪಕ್ಕೆ,ಣರೂಪಕ್ಕೆ
ಹಡಕೆಗಳು,ಡಕೆಗಳು
ಹೊಂಗೆಯೆಣ್ಣೆ,ೊಂಗೆಯೆಣ್ಣೆ
ಹಟ್ಟಿಮನೆ,ಟ್ಟಿಮನೆ
ಹಾಯಲು,ಾಯಲು
