ಪಾಶವೀಕೃತ್ಯ,ಾಶವೀಕೃತ್ಯ
ಪರ್ಸಿಸ್ಟೆನ್ಸ್,ರ್ಸಿಸ್ಟೆನ್ಸ್
ಪ್ರತಿನಿದಿಸುವವನು,್ರತಿನಿದಿಸುವವನು
ಪ್ರಪಂಚವು,್ರಪಂಚವು
ಪಲ್ಲಟಿಸಿದನು,ಲ್ಲಟಿಸಿದನು
ಪೊಂಗಣ್ಣ,ೊಂಗಣ್ಣ
ಪದ್ಮಮುಕಿ,ದ್ಮಮುಕಿ
ಪ್ರಹರಿಸು,್ರಹರಿಸು
ಪದಾನ್ಧತೆಗಳು,ದಾನ್ಧತೆಗಳು
ಪೊನಲ್ಗೊಳ್,ೊನಲ್ಗೊಳ್
ಪನ್ನಗದರ,ನ್ನಗದರ
ಪುರುಷಾರ್ಥಶೀಲರಿಗೆ,ುರುಷಾರ್ಥಶೀಲರಿಗೆ
ಪಾಕಡ,ಾಕಡ
ಪೂರ್ವದಲ್ಲಿದ್ದ,ೂರ್ವದಲ್ಲಿದ್ದ
ಪರಿಮಾರ್ಜನ,ರಿಮಾರ್ಜನ
ಪಕ್ಷೇತರ,ಕ್ಷೇತರ
ಪ್ರಕಾಶಿಸು,್ರಕಾಶಿಸು
ಪೊಮ್ಮದಿಲು,ೊಮ್ಮದಿಲು
ಪಲಕೊಡು,ಲಕೊಡು
ಪೇರಿಸಿ,ೇರಿಸಿ
ಪದಸೂಚಿಗಳು,ದಸೂಚಿಗಳು
ಪಳಗ,ಳಗ
ಪಾಯಿಂಟುಗಳು,ಾಯಿಂಟುಗಳು
ಪಡಖಾನೆ,ಡಖಾನೆ
ಪಾಳೆಯಙ್ಗೆಯ್,ಾಳೆಯಙ್ಗೆಯ್
ಪ್ರೇಮ,್ರೇಮ
ಪೋರಿ,ೋರಿ
ಪೂರ್ವಜ್ಞಾನ,ೂರ್ವಜ್ಞಾನ
ಪಾರಮಾರ್ಥಿಕವಲ್ಲದ,ಾರಮಾರ್ಥಿಕವಲ್ಲದ
ಪೌರಸಭೆ,ೌರಸಭೆ
ಪಾರೇಳ್,ಾರೇಳ್
ಪ್ರಭಾರಿ,್ರಭಾರಿ
ಪೆಲ್ಲೆ,ೆಲ್ಲೆ
ಪಾಪಿಷ್ಟತೆ,ಾಪಿಷ್ಟತೆ
ಪೆರ‍್ಕತೆ,ೆರ‍್ಕತೆ
ಪೇರರ್ವಿ,ೇರರ್ವಿ
ಪ್ರಬಲವಾಗು,್ರಬಲವಾಗು
ಪದಾರ್ಥಗಳಿಂದ,ದಾರ್ಥಗಳಿಂದ
ಪ್ರೌಡ,್ರೌಡ
ಪದ್ಮಾಂಘ್ರಿಗಳು,ದ್ಮಾಂಘ್ರಿಗಳು
ಪ್ರೀಮಿಯಂ,್ರೀಮಿಯಂ
ಪೆಟ್ಟಿಗೆಯಂತೆ,ೆಟ್ಟಿಗೆಯಂತೆ
ಪಕ್ಷಮಾಸ,ಕ್ಷಮಾಸ
ಪಿಞ್ಜೂಷ,ಿಞ್ಜೂಷ
ಪಞ್ಚಬನ್ಧ,ಞ್ಚಬನ್ಧ
ಪ್ರತ್ಯಂತ,್ರತ್ಯಂತ
ಪರಬ್ರಹ್ಮನಲ್ಲಿ,ರಬ್ರಹ್ಮನಲ್ಲಿ
ಪೂಡಿಸು,ೂಡಿಸು
ಪೇರಾಳ್,ೇರಾಳ್
ಪತ್ತೆಹಚ್ಚಿ,ತ್ತೆಹಚ್ಚಿ
ಪಾಸುಪೊಕ್ಕು,ಾಸುಪೊಕ್ಕು
ಪರೆಗಳನ್ನು,ರೆಗಳನ್ನು
ಪಡೆಯಬೇಕಾಗುತ್ತದೆ,ಡೆಯಬೇಕಾಗುತ್ತದೆ
ಪ್ರಜಾವಾಣಿಯಲ್ಲಿ,್ರಜಾವಾಣಿಯಲ್ಲಿ
ಪೊಸಗಳ್ತಲೆ,ೊಸಗಳ್ತಲೆ
ಪರಮಪವಿತ್ರವಾದ,ರಮಪವಿತ್ರವಾದ
ಪಿಳ್ಜುಟ್ಟು,ಿಳ್ಜುಟ್ಟು
ಪರಿವೆಯಿಲ್ಲದ,ರಿವೆಯಿಲ್ಲದ
ಪಂಚಬಂಧ,ಂಚಬಂಧ
ಪದುಳಿಕೆ,ದುಳಿಕೆ
ಪ್ರಮುಖವಲ್ಲದ,್ರಮುಖವಲ್ಲದ
ಪೊಲ್ಲಮಾತು,ೊಲ್ಲಮಾತು
ಪಾಕಪದ್ಧತಿ,ಾಕಪದ್ಧತಿ
ಪ್ರಕಾಶಪಡಿಸು,್ರಕಾಶಪಡಿಸು
ಪದಾರ್ತಗಳಿನ್ದ,ದಾರ್ತಗಳಿನ್ದ
ಪ್ರಮಾಣೀಕರಣ,್ರಮಾಣೀಕರಣ
ಪೌತಿ,ೌತಿ
ಪ್ರತ್ಯಹಂ,್ರತ್ಯಹಂ
ಪಸುಳೆತನ,ಸುಳೆತನ
ಪದಿನಾಕು,ದಿನಾಕು
ಪೂಜಾರಿಗಳು,ೂಜಾರಿಗಳು
ಪಾದರಸಮು,ಾದರಸಮು
ಪಯೋದಗಳು,ಯೋದಗಳು
ಪ್ರಭೆಯ,್ರಭೆಯ
ಪ್ರತಿಪಲ,್ರತಿಪಲ
ಪ್ರಶಂಸೆಗಳನ್ನು,್ರಶಂಸೆಗಳನ್ನು
ಪಡಲ್ಪ,ಡಲ್ಪ
ಪೊಲಂಬು,ೊಲಂಬು
ಪೇರಿಸಿದ,ೇರಿಸಿದ
ಪರಿಷ್ಕರಿಸಿದ,ರಿಷ್ಕರಿಸಿದ
ಪಿತೃ,ಿತೃ
ಪೊರಸೂಸು,ೊರಸೂಸು
ಪ್ಲೂಟೋಗ್ರಹಕ್ಕೆ,್ಲೂಟೋಗ್ರಹಕ್ಕೆ
ಪಞ್ಚಾಘ,ಞ್ಚಾಘ
ಪರೀಕ್ಷೀತ್,ರೀಕ್ಷೀತ್
ಪ್ರಭಾವದ,್ರಭಾವದ
ಪಟಲಗಳು,ಟಲಗಳು
ಪಗಡೆಕಾಯಿಗಳು,ಗಡೆಕಾಯಿಗಳು
ಪದವೀವೃದ್ದಿಗಳು,ದವೀವೃದ್ದಿಗಳು
ಪಾಳಯಪಟ್ಟು,ಾಳಯಪಟ್ಟು
ಪೂರ್ವಸಿದ್ದತೆಯಿಲ್ಲದೆ,ೂರ್ವಸಿದ್ದತೆಯಿಲ್ಲದೆ
ಪರಮಮಂಗಳಮೂರ್ತಿ,ರಮಮಂಗಳಮೂರ್ತಿ
ಪ್ರವಾದಿಯಂಥ,್ರವಾದಿಯಂಥ
ಪುಷ್ಪಪಾತ್ರ,ುಷ್ಪಪಾತ್ರ
ಪೂರೈಸು,ೂರೈಸು
ಪ್ರತಿಸಾಲಿನಲ್ಲಿಯೂ,್ರತಿಸಾಲಿನಲ್ಲಿಯೂ
ಪ್ರಭುತ್ವವಿರುವವನು,್ರಭುತ್ವವಿರುವವನು
ಪಟ್ಟೆಗಾಣಿಕೆ,ಟ್ಟೆಗಾಣಿಕೆ
ಪಕ್ಷಪ್ರಾಯಶ್ಚಿತ್ತ,ಕ್ಷಪ್ರಾಯಶ್ಚಿತ್ತ
ಪರವಶತ್ವ,ರವಶತ್ವ
ಪಂದಳಿಗೆ,ಂದಳಿಗೆ
ಪುನರ್ವವ್ಯಸ್ಥೆ,ುನರ್ವವ್ಯಸ್ಥೆ
ಪಾತೆ,ಾತೆ
ಪಾಶ್ಚಾತ್ಯ,ಾಶ್ಚಾತ್ಯ
ಪ್ರಜಾಪತಿಗಳಲ್ಲಿ,್ರಜಾಪತಿಗಳಲ್ಲಿ
ಪಱವೆ,ಱವೆ
ಪೀಡೆಯಿಲ್ಲದಿರುವುದು,ೀಡೆಯಿಲ್ಲದಿರುವುದು
ಪಟ್ಟೞಿ,ಟ್ಟೞಿ
ಪರಿಶ್ರಮವುಳ್ಳವನು,ರಿಶ್ರಮವುಳ್ಳವನು
ಪ್ರಕಟವಾಗುವ,್ರಕಟವಾಗುವ
ಪಿಂಡಿಗೆ,ಿಂಡಿಗೆ
ಪಳುವ,ಳುವ
ಪತಿಯನ್ನು,ತಿಯನ್ನು
ಪಕ್ಷದಿಂದ,ಕ್ಷದಿಂದ
ಪತಸಂಚಲನ,ತಸಂಚಲನ
ಪುರೋಹಿತ,ುರೋಹಿತ
ಪಗುಡಿಗಳು,ಗುಡಿಗಳು
ಪ್ರತಿಕೂಲವಾದುದು,್ರತಿಕೂಲವಾದುದು
ಪದ್ಮಾಂಗ್ರಿ,ದ್ಮಾಂಗ್ರಿ
ಪದ್ಮರಾಗಗಳು,ದ್ಮರಾಗಗಳು
ಪ್ರತ್ಯೇಕಿಸಿರುವ,್ರತ್ಯೇಕಿಸಿರುವ
ಪಾರ್ಥಸಾರಥಿ,ಾರ್ಥಸಾರಥಿ
ಪೊರೆಕಳಚು,ೊರೆಕಳಚು
ಪಾಪಪುಂಜ,ಾಪಪುಂಜ
ಪೂರ್ತಿಮಾಡು,ೂರ್ತಿಮಾಡು
ಪೂರ್ಣಗೊಳಿಸು,ೂರ್ಣಗೊಳಿಸು
ಪ್ರಕಟವಾಗು,್ರಕಟವಾಗು
ಪ್ರಜ್ಞಾನ,್ರಜ್ಞಾನ
ಪಾಸಿಪ್ಪಯಱು,ಾಸಿಪ್ಪಯಱು
ಪೆರ್ನರ,ೆರ್ನರ
ಪತ್ತಳೆ,ತ್ತಳೆ
ಪ್ರಾಚೀನಕಾವ್ಯಪ್ರಕಾರ,್ರಾಚೀನಕಾವ್ಯಪ್ರಕಾರ
ಪರ್ಯವಸಾನವಾಗು,ರ್ಯವಸಾನವಾಗು
ಪೂಜಿಸಲ್ಪಡುವವನು,ೂಜಿಸಲ್ಪಡುವವನು
ಪಂಥಾನುಯಾಯಿಗಳು,ಂಥಾನುಯಾಯಿಗಳು
ಪೊಡರ್ಪುಗುನ್ದು,ೊಡರ್ಪುಗುನ್ದು
ಪ್ರಾಧಾನ್ಯಗಳು,್ರಾಧಾನ್ಯಗಳು
ಪೊಸಬ,ೊಸಬ
ಪೊರಕೆಗಳು,ೊರಕೆಗಳು
ಪೆರ್ಗಣ,ೆರ್ಗಣ
ಪ್ರಶಸ್ತಿ.,್ರಶಸ್ತಿ.
ಪೊಡರು,ೊಡರು
ಪೊಂಬಸಿರ,ೊಂಬಸಿರ
ಪೊಳಂಕು,ೊಳಂಕು
ಪಾಶ್ಚಾತ್ಯದೇಶ,ಾಶ್ಚಾತ್ಯದೇಶ
ಪ್ರಕಾಂಡ,್ರಕಾಂಡ
ಪುಡಿಗೆಯ್,ುಡಿಗೆಯ್
ಪುಳಕಗಳು,ುಳಕಗಳು
ಪದಗಳು,ದಗಳು
ಪೀಟಿಕೆ,ೀಟಿಕೆ
ಪೋಕರಿತನ,ೋಕರಿತನ
ಪ್ರಾಮುಖ್ಯತೆಯನ್ನು,್ರಾಮುಖ್ಯತೆಯನ್ನು
ಪ್ರತಿದಾಳಿ,್ರತಿದಾಳಿ
ಪೈರಣಿ,ೈರಣಿ
ಪೋರುಗೆಯ್,ೋರುಗೆಯ್
ಪೂಸು,ೂಸು
ಪಡಲಿಗೆಗಳು,ಡಲಿಗೆಗಳು
ಪೊಳ್ಳಾಗಿಸು,ೊಳ್ಳಾಗಿಸು
ಪ್ರಕಟವಾದುದು,್ರಕಟವಾದುದು
ಪಾರುತನ,ಾರುತನ
ಪುಡಿಬೆಲ್ಲ,ುಡಿಬೆಲ್ಲ
ಪಕ್ಷಿಗಳಿಗೆ,ಕ್ಷಿಗಳಿಗೆ
ಪಂಥೀಯ,ಂಥೀಯ
ಪರಿಮಾಣ,ಗುಣ,ಬಣ್ಣಗಳಲ್ಲಿ,ರಿಮಾಣ,ಗುಣ,ಬಣ್ಣಗಳಲ್ಲಿ
ಪಕ್ಷನಿಷ್ಟೆ,ಕ್ಷನಿಷ್ಟೆ
ಪುಷ್ಟಿದಾಯಕ,ುಷ್ಟಿದಾಯಕ
ಪ್ರಾಗ್ಜೀವ,್ರಾಗ್ಜೀವ
ಪೆರಕಾಲ್,ೆರಕಾಲ್
ಪಯನ್,ಯನ್
ಪಾಡ್ದನೆ,ಾಡ್ದನೆ
ಪರಿಶಿಷ್ಟವಾಗಿ,ರಿಶಿಷ್ಟವಾಗಿ
ಪುಳ್ಚಾರು,ುಳ್ಚಾರು
ಪೌರಹಕ್ಕುಗಳು,ೌರಹಕ್ಕುಗಳು
ಪಾಠಶಾಲೆ,ಾಠಶಾಲೆ
ಪ್ರಾರಂಭಿಸುವಿಕೆ,್ರಾರಂಭಿಸುವಿಕೆ
ಪಙ್ಕಜಪಾಣಿ,ಙ್ಕಜಪಾಣಿ
ಪೋಳ್ದುಂಬು,ೋಳ್ದುಂಬು
ಪುಲಿಗಿಲ್,ುಲಿಗಿಲ್
ಪಞ್ಜರ,ಞ್ಜರ
ಪುಬ್ಬು,ುಬ್ಬು
ಪಞ್ಚಮಹಾಬೂತ,ಞ್ಚಮಹಾಬೂತ
ಪರಿಧಮನಿಯ,ರಿಧಮನಿಯ
ಪಕಾಲೆ,ಕಾಲೆ
ಪೋಕರಿಯ,ೋಕರಿಯ
ಪ್ರಕಟಿಸುವ,್ರಕಟಿಸುವ
ಪೆಳವ,ೆಳವ
ಪೂತಿಸಸ್ಯ,ೂತಿಸಸ್ಯ
ಪೂಜಾ,ೂಜಾ
ಪಾರ್ವತಿ,ಾರ್ವತಿ
ಪೊಯ್ವೆರು,ೊಯ್ವೆರು
ಪ್ರತಮಾಂಗ,್ರತಮಾಂಗ
ಪಾರೋಡ,ಾರೋಡ
ಪಾದರಕ್ಷೆಯನ್ನು,ಾದರಕ್ಷೆಯನ್ನು
ಪರ್ಯಾಯ,ರ್ಯಾಯ
ಪಾಟವವಿಲ್ಲದ,ಾಟವವಿಲ್ಲದ
ಪುರನ್ದರಾನುಜ,ುರನ್ದರಾನುಜ
ಪ್ರಾನ್ತ್ಯ,್ರಾನ್ತ್ಯ
ಪಟ್ಟುಹಿಡಿದ,ಟ್ಟುಹಿಡಿದ
ಪಂತಾನುಯಾಯಿಗಳು,ಂತಾನುಯಾಯಿಗಳು
ಪದಹಾಡು,ದಹಾಡು
ಪುನಶ್ಚಿಂತನೆ,ುನಶ್ಚಿಂತನೆ
ಪರಾಯಿ,ರಾಯಿ
ಪ್ರಕಟವಾದ,್ರಕಟವಾದ
ಪೆರ್ವಾರುವ,ೆರ್ವಾರುವ
ಪತಸಞ್ಚಲನಗಳು,ತಸಞ್ಚಲನಗಳು
ಪತ್ರಿಕೆಗಳಲ್ಲಿ,ತ್ರಿಕೆಗಳಲ್ಲಿ
ಪಿಟರ,ಿಟರ
ಪರಮಮಙ್ಗಳಮೂರ್ತಿ,ರಮಮಙ್ಗಳಮೂರ್ತಿ
ಪ್ರಾಂತಕ್ಕೆ,್ರಾಂತಕ್ಕೆ
ಪ್ರತ್ಯಕ್ಷಭಾವ,್ರತ್ಯಕ್ಷಭಾವ
ಪಾಂಡುರಾಜ,ಾಂಡುರಾಜ
ಪವ್ರಸಂಸ್ತೆ,ವ್ರಸಂಸ್ತೆ
ಪೊಟ್ಟುಗಗಳು,ೊಟ್ಟುಗಗಳು
ಪುಷ್ಪಪಾತ್ರೆ/ಹೂವೆಲೆ,ುಷ್ಪಪಾತ್ರೆ/ಹೂವೆಲೆ
ಪೆಸಿಪಿಕ್,ೆಸಿಪಿಕ್
ಪ್ರತಿಮೆಯನ್ತೆ,್ರತಿಮೆಯನ್ತೆ
ಪಚ್ಚ,ಚ್ಚ
ಪ್ರಕರ,್ರಕರ
ಪೊರೆಯ,ೊರೆಯ
ಪುಂಡಾಖೋರು,ುಂಡಾಖೋರು
ಪರ್ಬತ,ರ್ಬತ
ಪಾಲ್ಗುಡಿ,ಾಲ್ಗುಡಿ
ಪೋಟೆ,ೋಟೆ
ಪೋಡು,ೋಡು
ಪನ್ನತಿಕೆ,ನ್ನತಿಕೆ
ಪ್ರಜೆಗಳು,್ರಜೆಗಳು
ಪಟುತನ,ಟುತನ
ಪೂರ್ವಪಂಕ್ತಿ,ೂರ್ವಪಂಕ್ತಿ
ಪತ್ರಕರ್ತ,ತ್ರಕರ್ತ
ಪದಾರ್ಥಗಳಲ್ಲಿ,ದಾರ್ಥಗಳಲ್ಲಿ
ಪಿಂಪಿಣಿ,ಿಂಪಿಣಿ
ಪರ್ವತವಿಜ್ಞಾನದ,ರ್ವತವಿಜ್ಞಾನದ
ಪ್ರಸಿದ್ಧಪಡಿಸು,್ರಸಿದ್ಧಪಡಿಸು
ಪದೋನ್ನತಿಗಳು,ದೋನ್ನತಿಗಳು
ಪ್ರತಿಬನ್ಧಕ,್ರತಿಬನ್ಧಕ
ಪಡೆದರು.,ಡೆದರು.
ಪಾದರಹೂವಿನ,ಾದರಹೂವಿನ
ಪುಂಡನಾದ,ುಂಡನಾದ
ಪೊದರೊಡೆ,ೊದರೊಡೆ
ಪದಿರುವರೆಗಳು,ದಿರುವರೆಗಳು
ಪ್ರಾಂತಭಾಷೆ,್ರಾಂತಭಾಷೆ
ಪುರಾಣ,ುರಾಣ
ಪ್ರೇಕ್ಷಕರ,್ರೇಕ್ಷಕರ
ಪೇಟೆದರಗಳು,ೇಟೆದರಗಳು
ಪರಿಹಾರಕ್ಕಾಗಿ,ರಿಹಾರಕ್ಕಾಗಿ
ಪದರಙ್ಗಗಳು,ದರಙ್ಗಗಳು
ಪ್ರದಕ್ಷಿಣೆ,್ರದಕ್ಷಿಣೆ
ಪಕ್ಷಿವಾಹನನಾದ,ಕ್ಷಿವಾಹನನಾದ
ಪತ್ತಿಗೆಯ,ತ್ತಿಗೆಯ
ಪಂಚಭೇದಗಳು,ಂಚಭೇದಗಳು
ಪಾಣ್ಡಿತ್ಯ,ಾಣ್ಡಿತ್ಯ
ಪರಸ್ಪರವಾದ,ರಸ್ಪರವಾದ
ಪ್ರಶಂಸಾರ್ಹ,್ರಶಂಸಾರ್ಹ
ಪಞ್ಚಬೇದ,ಞ್ಚಬೇದ
ಪೊಡೆಮಗುಚು,ೊಡೆಮಗುಚು
ಪುಟವಿನ್ಯಾಸಗಳು,ುಟವಿನ್ಯಾಸಗಳು
ಪೂರ್ಣಾವಧಿ,ೂರ್ಣಾವಧಿ
ಪ್ರಶಸ್ತವಾದದ್ದು,್ರಶಸ್ತವಾದದ್ದು
ಪರಿಪೂರ್ಣವಾದ,ರಿಪೂರ್ಣವಾದ
ಪ್ರತಿವಿಷಜನಕ,್ರತಿವಿಷಜನಕ
ಪಞ್ಚಾಯತ,ಞ್ಚಾಯತ
ಪರಿಯಾಳ್ತನ,ರಿಯಾಳ್ತನ
ಪಾಯ್,ಾಯ್
ಪಗಲ್,ಗಲ್
ಪ್ರಾಧಿಕಾರ,್ರಾಧಿಕಾರ
ಪ್ರರೂಡ,್ರರೂಡ
ಪ್ರಪಿತಾಮಹಂ,್ರಪಿತಾಮಹಂ
ಪುಣ್ಡರು,ುಣ್ಡರು
ಪ್ರಾಣಿವರ್ಗ,್ರಾಣಿವರ್ಗ
ಪಕ್ಕವಿರುವ,ಕ್ಕವಿರುವ
ಪುಷ್ಕಳ,ುಷ್ಕಳ
ಪ್ರಕ್ಯಾತವಾದುದು,್ರಕ್ಯಾತವಾದುದು
ಪೇಣ್ಟರ್,ೇಣ್ಟರ್
ಪರದಿಕೆಗಳು,ರದಿಕೆಗಳು
ಪೆರವಕ್ಕ,ೆರವಕ್ಕ
ಪುಲ್ವನೆ,ುಲ್ವನೆ
ಪೊಲೀಸಿನವರು,ೊಲೀಸಿನವರು
ಪರಬ್ರಹ್ಮತತ್ತ್ವದ,ರಬ್ರಹ್ಮತತ್ತ್ವದ
ಪೊನ್ಬುಚ್ಚ,ೊನ್ಬುಚ್ಚ
ಪದವುಟ್ಟಿನರಿಮೆ,ದವುಟ್ಟಿನರಿಮೆ
ಪ್ರಕೋಷ್ಟ,್ರಕೋಷ್ಟ
ಪರಿಶುದ್ಧವಾದುದು,ರಿಶುದ್ಧವಾದುದು
ಪುಷ್ಪದಂತ,ುಷ್ಪದಂತ
ಪುಟ್ಟನಾಲೆ,ುಟ್ಟನಾಲೆ
ಪಿಂತಡಿ,ಿಂತಡಿ
ಪೃಷ್ಠ,ೃಷ್ಠ
ಪ್ರಮೋದಗಳಲ್ಲಿರು,್ರಮೋದಗಳಲ್ಲಿರು
ಪದ್ಮಸಮ್ಬವ,ದ್ಮಸಮ್ಬವ
ಪನ್ನಗಧರ,ನ್ನಗಧರ
ಪದನಿಷ್ಠ,ದನಿಷ್ಠ
ಪಚ್ಚೆಹರಳು,ಚ್ಚೆಹರಳು
ಪವಿತ್ರಸ್ತಳಗಳಲ್ಲಿಯ,ವಿತ್ರಸ್ತಳಗಳಲ್ಲಿಯ
ಪದಗುಚ್ಚ,ದಗುಚ್ಚ
ಪೇಟ,ೇಟ
ಪಕಾಲಿ,ಕಾಲಿ
ಪೆಗ್ಗೊಲ್ಲಿ,ೆಗ್ಗೊಲ್ಲಿ
ಪರ್ಕೆ,ರ್ಕೆ
ಪ್ರತ್ಯೂಷ,್ರತ್ಯೂಷ
ಪ್ರಸಿದ್ದವಾದುದು,್ರಸಿದ್ದವಾದುದು
ಪಸುರ್ವಕ್ಕಿ,ಸುರ್ವಕ್ಕಿ
ಪತಿ,ತಿ
ಪ್ರತಿಕ್ರಿಯೆಯಾಗಿ,್ರತಿಕ್ರಿಯೆಯಾಗಿ
ಪ್ರತಿಬನ್ದನ,್ರತಿಬನ್ದನ
ಪೆಟಾರಿ,ೆಟಾರಿ
ಪಿಳ್ಳೆದೆವ್ವ,ಿಳ್ಳೆದೆವ್ವ
ಪರಮೇಷ್ಠೀ,ರಮೇಷ್ಠೀ
ಪಾರುಷ್ಯ,ಾರುಷ್ಯ
ಪ್ರಾಯಶ್ಚಿತ್ತ,್ರಾಯಶ್ಚಿತ್ತ
ಪೊಟ್ಣಗಳು,ೊಟ್ಣಗಳು
ಪಾಲ್ಗೊಡ,ಾಲ್ಗೊಡ
ಪಾಟಕಾಲ,ಾಟಕಾಲ
ಪದಪದುಮ,ದಪದುಮ
ಪುಷ್ಟವಾದ,ುಷ್ಟವಾದ
ಪುಗ್ಗಾಯ್ಲು,ುಗ್ಗಾಯ್ಲು
ಪುಲಿವಲೆ,ುಲಿವಲೆ
ಪಾಪೆಯಿಲಿ,ಾಪೆಯಿಲಿ
ಪೋಳ್ಗುಟ್ಟು,ೋಳ್ಗುಟ್ಟು
ಪತ್ರಾವಳಿ,ತ್ರಾವಳಿ
ಪದ/ಮೇ,ದ/ಮೇ
ಪುಟ್ಟಿಗೆಗಳು,ುಟ್ಟಿಗೆಗಳು
ಪೌರಸಂಸ್ತೆಗಳು,ೌರಸಂಸ್ತೆಗಳು
ಪೆನ್ಸಿಲ್,ೆನ್ಸಿಲ್
ಪೋರ್ತ,ೋರ್ತ
ಪರಿಣಾಮಹೊನ್ದದ,ರಿಣಾಮಹೊನ್ದದ
ಪಂತಾಬಿಮಾನಿಗಳು,ಂತಾಬಿಮಾನಿಗಳು
ಪಡಿಕೆ,ಡಿಕೆ
ಪಕಾಲೆಗಳು,ಕಾಲೆಗಳು
ಪತ್ರವ್ಯವಹಾರಿ,ತ್ರವ್ಯವಹಾರಿ
ಪುರಾತನರು,ುರಾತನರು
ಪರಮಾನನ್ದವನ್ನುಣ್ಟುಮಾಡು,ರಮಾನನ್ದವನ್ನುಣ್ಟುಮಾಡು
ಪಡಿನೆಳಲ್,ಡಿನೆಳಲ್
ಪಂಜರಗಳು,ಂಜರಗಳು
ಪುಲುಗರ್ಚು,ುಲುಗರ್ಚು
ಪಿಲ್ಲಡು,ಿಲ್ಲಡು
ಪಿಞ್ಚು,ಿಞ್ಚು
ಪಟ್ಟವಾಳಿ,ಟ್ಟವಾಳಿ
ಪಾಚಕ,ಾಚಕ
ಪಾವುಗೆ,ಾವುಗೆ
ಪಟಲಿಕಾ,ಟಲಿಕಾ
ಪ್ರಕೋಪಕ,್ರಕೋಪಕ
ಪೊಡರ್,ೊಡರ್
ಪುರುಷೋತ್ತಮ,ುರುಷೋತ್ತಮ
ಪಂಜೆಯಾಗಿರು,ಂಜೆಯಾಗಿರು
ಪಾರಲ್,ಾರಲ್
ಪಂಕಜಸಕ,ಂಕಜಸಕ
ಪ್ರಾಣಾದಿವಾಯು,್ರಾಣಾದಿವಾಯು
ಪಲವಾಗಿರು,ಲವಾಗಿರು
ಪಙ್ಕಜವಯ್ರಿಗಳು,ಙ್ಕಜವಯ್ರಿಗಳು
ಪಾವಕಜ,ಾವಕಜ
ಪೆದ್ದುನಗೆ,ೆದ್ದುನಗೆ
ಪಳುವರಿ,ಳುವರಿ
ಪಞ್ಚಭೇದಗಳು,ಞ್ಚಭೇದಗಳು
ಪರಿಪೂರ್ಣತಮಗಳು,ರಿಪೂರ್ಣತಮಗಳು
ಪರೋಕ್ಷವಾಗಿ,ರೋಕ್ಷವಾಗಿ
ಪಂಚಶರಪಿತ,ಂಚಶರಪಿತ
ಪಂಚಮೋಕ್ಷ,ಂಚಮೋಕ್ಷ
ಪ್ರಯಾಣಿಕ,್ರಯಾಣಿಕ
ಪೈಪೋಟಿ,ೈಪೋಟಿ
ಪೂಸಣಬ,ೂಸಣಬ
ಪತಗತಿ,ತಗತಿ
ಪಾಲುಬಾಯಿ,ಾಲುಬಾಯಿ
ಪ್ರಬಾವಪೂರ್ಣವಾದ,್ರಬಾವಪೂರ್ಣವಾದ
ಪಾರ್ಶ್ವಸಂತತಿ,ಾರ್ಶ್ವಸಂತತಿ
ಪಚಡಿಗಳು,ಚಡಿಗಳು
ಪೊಚ್ಚಂಬೋಗು,ೊಚ್ಚಂಬೋಗು
ಪರದಾಡು,ರದಾಡು
ಪಯ್ಶೂನ್ಯ,ಯ್ಶೂನ್ಯ
ಪೂರ್ವಸೂಚನೆ,ೂರ್ವಸೂಚನೆ
ಪ್ರಕೀರ್ಣ,್ರಕೀರ್ಣ
ಪಿಳಿಲಿ,ಿಳಿಲಿ
ಪಗಲಿರುಳ್,ಗಲಿರುಳ್
ಪ್ರತಿಜವಾಬು,್ರತಿಜವಾಬು
ಪೆಂಟಿ,ೆಂಟಿ
ಪ್ರಮೆಗಳು,್ರಮೆಗಳು
ಪ್ರಾಣೇಶ,್ರಾಣೇಶ
ಪೊರೆಗೊರತೆ,ೊರೆಗೊರತೆ
ಪಂಚತಾರೆ,ಂಚತಾರೆ
ಪಾಡು,ಾಡು
ಪೆಂಡ್ಲಿಕೊಡುಕು,ೆಂಡ್ಲಿಕೊಡುಕು
ಪುಣ್ಡೆ,ುಣ್ಡೆ
ಪಾತ್ರವಾದುದು,ಾತ್ರವಾದುದು
ಪೂರ್ವಕಥೆ,ೂರ್ವಕಥೆ
ಪೂತು,ೂತು
ಪುದುವಾಳು,ುದುವಾಳು
ಪೊಡೆವಡು,ೊಡೆವಡು
ಪೊಳಲಿಗನಲ್ಲದ,ೊಳಲಿಗನಲ್ಲದ
ಪೂಗಂಪು,ೂಗಂಪು
ಪೈಜೆಗಳು,ೈಜೆಗಳು
ಪಟ್ಯಕ್ರಮ,ಟ್ಯಕ್ರಮ
ಪ್ರಜ್ಞಾಶೂನ್ಯಸ್ತಿತಿಗಳು,್ರಜ್ಞಾಶೂನ್ಯಸ್ತಿತಿಗಳು
ಪುನರಾರಮ್ಭಿಸು,ುನರಾರಮ್ಭಿಸು
ಪ್ರವರ್ಧತೆ,್ರವರ್ಧತೆ
ಪೂರ್ವಭಾವಿ,ೂರ್ವಭಾವಿ
ಪುನಾದಿ,ುನಾದಿ
ಪಗಾರಶ್ರೇಣಿ,ಗಾರಶ್ರೇಣಿ
